Block;Rack;Line;Fruit_s;Generation;Date_O;Date_A;Line;Colonne;Treatment;Nb_eggs;Obs_O;Nb_adults;Obs_A,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L4;C3;Strawberry;323;AA;15;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L4;C4;Cranberry;124;AA;67;LO,
1A;NA;CE3;Cherry;G7;22/8/2017;5/9/2017;L4;C7;Cranberry;145;AA;18;LO,
1A;NA;CR2;Cranberry;G7;22/8/2017;5/9/2017;L4;C8;Cranberry;231;AA;2;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L4;C10;Cherry;258;AA;17;LO,
1A;NA;CE1;Cherry;G7;22/8/2017;5/9/2017;L5;C1;Strawberry;96;AA;36;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L5;C2;Strawberry;158;AA;46;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L5;C3;Cranberry;211;AA;61;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L5;C4;Cherry;162;AA;9;LO,
1A;NA;CE3;Cherry;G7;22/8/2017;5/9/2017;L5;C7;Strawberry;243;AA;26;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L5;C10;Cranberry;129;AA;17;LO,
1A;NA;CE1;Cherry;G7;22/8/2017;5/9/2017;L6;C1;Cherry;195;AA;5;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L6;C2;Cranberry;295;AA;8;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L6;C3;Strawberry;75;AA;22;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L6;C4;Cherry;199;AA;39;LO,
1A;NA;CE3;Cherry;G7;22/8/2017;5/9/2017;L6;C7;Cherry;147;AA;43;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L6;C10;Strawberry;132;AA;34;LO,
1A;NA;CE1;Cherry;G7;22/8/2017;5/9/2017;L7;C1;Cherry;249;AA;0;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L7;C2;Cherry;278;AA;12;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L7;C3;Cranberry;115;AA;41;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L7;C4;Strawberry;197;AA;29;LO,
1A;NA;CE3;Cherry;G7;22/8/2017;5/9/2017;L7;C7;Cranberry;194;AA;12;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L7;C10;Cherry;287;AA;2;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L8;C2;Cherry;158;AA;9;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L8;C3;Strawberry;110;AA;46;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L8;C4;Cranberry;128;AA;51;LO,
1A;NA;CE3;Cherry;G7;22/8/2017;5/9/2017;L8;C7;Strawberry;140;AA;29;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L8;C9;Strawberry;80;AA;23;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L8;C10;Cranberry;129;AA;37;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L9;C2;Strawberry;116;AA;21;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L9;C3;Cranberry;182;AA;2;LO,
1A;NA;CE3;Cherry;G7;22/8/2017;5/9/2017;L9;C7;Cherry;135;AA;16;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L9;C9;Cranberry;137;AA;34;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L9;C10;Strawberry;161;AA;29;LO,
1A;NA;TO3;Tomato;G7;22/8/2017;5/9/2017;L10;C5;Tomato;177;AA;5;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L10;C9;Cranberry;210;AA;5;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L10;C10;Cherry;203;AA;14;LO,
1B;NA;CE1;Cherry;G7;23/8/2017;09/06/2017;L1;C1;Cranberry;88;AA;19;LO,
1B;NA;CE1;Cherry;G7;23/8/2017;09/06/2017;L2;C1;Strawberry;197;AA;28;LO,
1B;NA;CE1;Cherry;G7;23/8/2017;09/06/2017;L3;C1;Cherry;207;AA;33;LO,
1B;NA;CE1;Cherry;G7;23/8/2017;09/06/2017;L4;C1;Cranberry;170;AA;10;LO,
